timestamp,epoch,step,total_loss,reg_loss,pred_loss,probe_loss,jepa_lr,probe_lr,itr_time,reward_loss,reward_lr,type,epoch_time_seconds
2026-03-23T00:16:02.885626,0,0.0,17.34031105041504,16.527103424072266,0.8061394095420837,0.0,3.2051381730769227e-07,1.0000000000000001e-11,0.8778114318847656,0.00706819212064147,0.0001,,
2026-03-23T00:17:06.217975,0,10.0,16.710742950439453,16.319541931152344,0.38426342606544495,0.0,3.5256419903846146e-06,1.0000000000000001e-11,0.4117894172668457,0.006937820930033922,0.0001,,
2026-03-23T00:18:09.656298,0,20.0,14.942169189453125,14.487421035766602,0.45471662282943726,0.0,6.7307701634615375e-06,1.0000000000000001e-11,0.41126132011413574,3.1734962249174714e-05,0.0001,,
2026-03-23T00:19:13.092342,0,30.0,11.936596870422363,11.19221305847168,0.7409499883651733,0.0,9.935898336538457e-06,1.0000000000000001e-11,0.40901947021484375,0.003433742793276906,0.0001,,
2026-03-23T00:20:16.666883,0,40.0,9.279243469238281,8.309466361999512,0.9655511379241943,0.0,1.3141026509615375e-05,1.0000000000000001e-11,0.41016221046447754,0.004225654061883688,0.0001,,
2026-03-23T00:21:19.975946,0,50.0,8.25209903717041,7.310844421386719,0.9304115772247314,0.0,1.6346154682692296e-05,1.0000000000000001e-11,0.4109222888946533,0.010842932388186455,0.0001,,
2026-03-23T00:22:23.346621,0,60.0,7.800009250640869,6.885863304138184,0.9138582944869995,0.0,1.9551282855769212e-05,1.0000000000000001e-11,0.4110274314880371,0.0002875772479455918,0.0001,,
2026-03-23T00:23:26.490867,0,70.0,7.371504306793213,6.472835063934326,0.884989857673645,0.0,2.275641102884613e-05,1.0000000000000001e-11,0.41152286529541016,0.013679360039532185,0.0001,,
2026-03-23T00:24:29.812536,0,80.0,7.277461051940918,6.342662811279297,0.9347319602966309,0.0,2.5961539201923055e-05,1.0000000000000001e-11,0.4114236831665039,6.608801049878821e-05,0.0001,,
2026-03-23T00:25:33.128983,0,90.0,6.848251819610596,6.093069553375244,0.7516854405403137,0.0,2.9166667374999974e-05,1.0000000000000001e-11,0.41022539138793945,0.0034965360537171364,0.0001,,
2026-03-23T00:26:36.349883,0,100.0,6.4714674949646,5.695930480957031,0.765220046043396,0.0,3.2371795548076904e-05,1.0000000000000001e-11,0.40965819358825684,0.010316845029592514,0.0001,,
